State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Jind,Narwana,Sponge gourd,Other,FAQ,24/07/2025,3000,3000,3000,311
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,08/07/2025,5000,5000,5000,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,11/07/2025,5000,5000,5000,77
Haryana,Jind,Narwana,Mousambi(Sweet Lime),Other,Medium,30/07/2025,4000,4000,4000,77
Haryana,Jind,Narwana,Tomato,Other,FAQ,05/07/2025,2000,2500,2250,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,07/07/2025,3000,3000,3000,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,10/07/2025,2200,2500,2350,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,14/07/2025,3000,3000,3000,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,21/07/2025,3000,3000,3000,78
Haryana,Jind,Narwana,Tomato,Other,FAQ,26/07/2025,3500,3500,3500,78
Haryana,Jind,Narwana,Mango,Other,Medium,06/07/2025,1500,7000,3500,20
Haryana,Jind,Narwana,Mango,Other,Medium,08/07/2025,2000,7000,5000,20
Haryana,Jind,Narwana,Mango,Other,Medium,11/07/2025,1500,6000,4500,20
Haryana,Jind,Narwana,Mango,Other,Medium,12/07/2025,2000,6000,3500,20
Haryana,Jind,Narwana,Mango,Other,Medium,17/07/2025,3000,7000,5000,20
Haryana,Jind,Narwana,Mango,Other,Medium,21/07/2025,4000,4000,4000,20
Haryana,Jind,Narwana,Mango,Other,Medium,24/07/2025,4000,7000,5500,20
Haryana,Jind,Narwana,Mango,Other,Medium,26/07/2025,6000,7000,6500,20
Haryana,Jind,Narwana,Cauliflower,Cauliflower,FAQ,01/07/2025,4000,4000,4000,34
Haryana,Jind,Narwana,Potato,Other,FAQ,03/07/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,09/07/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Potato,Other,FAQ,10/07/2025,1200,1200,1200,24
Haryana,Jind,Narwana,Apple,Other,Medium,03/06/2025,16000,16000,16000,17
Haryana,Jind,Narwana,Apple,Other,Medium,04/06/2025,15000,15000,15000,17
Haryana,Jind,Narwana,Mango,Other,Medium,12/06/2025,5000,7000,6000,20
Haryana,Jind,Narwana,Mango,Other,Medium,14/06/2025,5000,7000,6000,20
Haryana,Jind,Narwana,Mango,Other,Medium,19/06/2025,3500,6000,4500,20
Haryana,Jind,Narwana,Chikoos(Sapota),Other,Medium,03/06/2025,4000,4000,4000,71
Haryana,Jind,Narwana,Chikoos(Sapota),Other,Medium,12/06/2025,4000,4000,4000,71
Haryana,Jind,Narwana,Chikoos(Sapota),Other,Medium,27/06/2025,4000,4000,4000,71
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,06/06/2025,1500,1500,1500,82
